"Story","Title","Result","Date","Stability","Duration (s)"
"Verify add to cart and remove from cart","verify the user is able to add and remove a pass to and from the cart","SUCCESS","2015-07-28T07:49:32.491Z","0.0","374.83"
"Verify invalid registration","verify the user is able to register","FAILURE","2015-07-28T07:55:49.373Z","0.0","208.94"
